date,match_id,team_1_name,team_1_goalsScored,team_1_halfTimeGoalsScored,team_1_cornerCount,team_1_shots,team_1_shotsOnTarget,team_1_foulsConceded,team_1_yellowConceded,team_1_redConceded,team_1_result,team_1_goalsConceded,team_1_halfTimeGoalsConceded,team_1_cornersConceded,team_1_shotsConceded,team_1_shotsOnTargetConceded,team_1_foulsReceived,team_1_yellowOpponent,team_1_redOpponent,team_1_home_or_away,team_1_average_goalsScored_last_five,team_1_average_halfTimeGoalsScored_last_five,team_1_average_cornerCount_last_five,team_1_average_shots_last_five,team_1_average_shotsOnTarget_last_five,team_1_average_foulsConceded_last_five,team_1_average_yellowConceded_last_five,team_1_average_redConceded_last_five,team_1_average_result_last_five,team_1_average_goalsConceded_last_five,team_1_average_halfTimeGoalsConceded_last_five,team_1_average_cornersConceded_last_five,team_1_average_shotsConceded_last_five,team_1_average_shotsOnTargetConceded_last_five,team_1_average_foulsReceived_last_five,team_1_average_yellowOpponent_last_five,team_1_average_redOpponent_last_five,team_1_promoted,team_1_win_streak_before_match,team_1_unbeaten_streak_before_match,team_2_name,team_2_goalsScored,team_2_halfTimeGoalsScored,team_2_cornerCount,team_2_shots,team_2_shotsOnTarget,team_2_foulsConceded,team_2_yellowConceded,team_2_redConceded,team_2_result,team_2_goalsConceded,team_2_halfTimeGoalsConceded,team_2_cornersConceded,team_2_shotsConceded,team_2_shotsOnTargetConceded,team_2_foulsReceived,team_2_yellowOpponent,team_2_redOpponent,team_2_home_or_away,team_2_average_goalsScored_last_five,team_2_average_halfTimeGoalsScored_last_five,team_2_average_cornerCount_last_five,team_2_average_shots_last_five,team_2_average_shotsOnTarget_last_five,team_2_average_foulsConceded_last_five,team_2_average_yellowConceded_last_five,team_2_average_redConceded_last_five,team_2_average_result_last_five,team_2_average_goalsConceded_last_five,team_2_average_halfTimeGoalsConceded_last_five,team_2_average_cornersConceded_last_five,team_2_average_shotsConceded_last_five,team_2_average_shotsOnTargetConceded_last_five,team_2_average_foulsReceived_last_five,team_2_average_yellowOpponent_last_five,team_2_average_redOpponent_last_five,team_2_promoted,team_2_win_streak_before_match,team_2_unbeaten_streak_before_match
2001-12-29,214024,Arsenal,2,0,9,16,6,17,3,0,3.0,1,1,1,3,2,13,4,0,Home,1.8,0.6,5.4,14.4,6.4,16.0,3.2,0.4,2.0,1.6,0.8,5.0,8.8,3.4,15.2,2.4,0.2,0,2,2,Middlesbrough,1,1,1,3,2,13,4,0,0.0,2,0,9,16,6,17,3,0,Away,0.2,0.2,3.8,6.4,3.2,9.4,1.4,0.0,0.8,1.2,0.6,6.8,13.0,5.2,11.0,0.8,0.0,0,0,0
2002-01-13,214052,Arsenal,1,0,3,11,4,15,1,0,1.0,1,0,1,5,2,16,1,0,Home,1.6,0.6,5.4,14.6,6.0,15.8,3.0,0.4,2.0,1.4,0.6,4.6,7.8,2.8,15.0,3.2,0.2,0,3,3,Liverpool,1,0,1,5,2,16,1,0,1.0,1,0,3,11,4,15,1,0,Away,1.0,0.2,4.8,12.2,5.0,8.8,0.6,0.0,1.0,1.4,0.6,6.6,10.8,5.8,12.4,2.0,0.2,0,0,0
2002-02-02,214076,Arsenal,1,1,4,14,4,13,2,0,1.0,1,0,3,4,1,22,3,0,Home,2.0,1.0,5.6,11.6,5.8,15.6,1.6,0.2,2.2,1.2,0.8,3.6,5.4,2.2,15.4,2.0,0.0,0,2,7,Southampton,1,0,3,4,1,22,3,0,1.0,1,1,4,14,4,13,2,0,Away,2.0,0.6,5.2,9.0,5.2,14.8,0.6,0.0,2.0,1.2,1.0,4.8,10.2,5.2,10.4,1.4,0.0,0,1,2
2002-02-23,214097,Arsenal,4,3,7,16,10,19,0,0,3.0,1,1,5,6,5,14,1,0,Home,1.8,1.2,5.0,10.2,5.2,15.8,2.2,0.2,2.2,1.0,0.6,4.0,5.8,2.0,17.4,1.6,0.0,0,1,9,Fulham,1,1,5,6,5,14,1,0,0.0,4,3,7,16,10,19,0,0,Away,0.8,0.4,6.2,9.6,4.2,13.6,2.0,0.0,1.0,0.8,0.4,7.0,13.0,7.2,15.8,1.8,0.2,1,0,0
2002-03-05,214115,Arsenal,1,0,9,17,8,13,1,0,3.0,0,0,1,0,0,16,2,0,Home,2.2,1.6,5.2,10.8,5.6,18.0,2.0,0.2,2.6,0.8,0.6,4.0,7.8,3.6,17.6,1.2,0.0,0,3,11,Derby,0,0,1,0,0,16,2,0,0.0,1,0,9,17,8,13,1,0,Away,1.2,0.4,4.4,8.2,4.8,14.8,1.8,0.0,1.4,0.8,0.2,8.2,10.8,4.4,12.6,1.6,0.0,0,0,2
2002-03-30,214146,Arsenal,3,3,5,13,10,8,0,0,3.0,0,0,4,13,5,17,3,0,Home,2.0,1.0,6.2,10.8,6.0,16.2,1.8,0.0,3.0,0.4,0.4,4.4,6.6,3.2,14.8,0.8,0.0,0,5,13,Sunderland,0,0,4,13,5,17,3,0,0.0,3,3,5,13,10,8,0,0,Away,0.6,0.4,3.4,9.4,4.0,12.6,2.0,0.0,0.8,1.6,0.4,7.4,13.2,6.2,11.4,1.4,0.0,0,0,1
2002-04-06,214164,Arsenal,2,1,10,13,5,15,1,0,3.0,1,0,1,2,2,17,4,0,Home,2.2,1.6,5.2,11.4,7.0,13.0,1.2,0.0,3.0,0.2,0.2,5.8,7.8,3.8,13.4,1.6,0.0,0,7,15,Tottenham,1,0,1,2,2,17,4,0,0.0,2,1,10,13,5,15,1,0,Away,1.0,1.0,4.0,9.4,4.0,12.6,2.2,0.2,1.4,1.4,0.2,6.4,13.6,6.2,12.0,0.6,0.0,0,1,3
2002-04-21,214189,Arsenal,2,0,14,20,8,9,1,0,3.0,0,0,2,7,2,9,0,0,Home,2.2,1.4,5.6,12.2,6.8,12.6,1.2,0.0,3.0,0.4,0.2,5.0,5.6,3.0,13.4,2.4,0.0,0,8,16,Ipswich,0,0,2,7,2,9,0,0,0.0,2,0,14,20,8,9,1,0,Away,0.8,0.0,5.8,10.0,4.2,12.0,0.8,0.0,0.6,1.8,1.0,7.4,12.0,5.6,10.0,0.6,0.0,0,0,0
2002-04-24,214192,Arsenal,2,0,12,20,9,12,2,0,3.0,0,0,2,5,1,13,2,0,Home,2.4,1.4,6.6,12.8,6.8,11.8,1.2,0.0,3.0,0.4,0.2,5.2,7.0,3.4,12.0,2.0,0.0,0,9,17,West Ham,0,0,2,5,1,13,2,0,0.0,2,0,12,20,9,12,2,0,Away,2.0,1.0,5.2,12.0,5.8,8.4,1.0,0.0,2.6,0.4,0.0,6.6,13.2,5.2,10.4,1.8,0.0,0,1,5
2002-05-11,214206,Arsenal,4,2,4,17,6,7,0,0,3.0,3,2,3,14,6,5,0,0,Home,1.8,0.6,8.8,13.2,5.6,12.0,1.2,0.0,3.0,0.2,0.0,3.6,6.0,1.8,14.0,2.0,0.0,0,12,20,Everton,3,2,3,14,6,5,0,0,0.0,4,2,4,17,6,7,0,0,Away,1.4,0.4,8.4,11.0,5.6,12.6,1.0,0.2,1.4,1.6,1.0,4.4,11.4,3.8,9.0,1.2,0.2,0,0,0
2002-08-27,214236,Arsenal,5,3,1,10,8,9,3,0,3.0,2,0,1,8,6,9,2,0,Home,2.2,1.2,5.0,10.8,4.8,10.2,1.4,0.0,2.6,1.0,0.6,4.4,9.0,3.0,13.0,1.4,0.2,0,0,23,West Brom,2,0,1,8,6,9,2,0,0.0,5,3,1,10,8,9,3,0,Away,0.5,0.0,4.0,9.0,3.5,10.5,1.0,0.5,0.0,2.0,0.5,6.0,15.5,8.5,10.0,1.0,0.0,1,0,0
2002-09-10,214254,Arsenal,2,2,7,13,5,16,1,0,3.0,1,1,6,5,4,14,2,1,Home,2.8,1.4,4.0,11.8,6.2,10.4,2.0,0.2,2.2,1.6,0.8,3.2,9.0,3.8,12.6,2.0,0.2,0,0,25,Man City,1,1,6,5,4,14,2,1,0.0,2,2,7,13,5,16,1,0,Away,1.0,0.8,6.4,11.0,6.0,14.0,2.0,0.2,1.2,1.4,0.8,5.6,11.2,6.2,13.8,1.0,0.0,1,1,1
